doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
library-borrow-home,data\thu-vien\library-borrow-home.md,Mượn tài liệu về nhà,https://library.hust.edu.vn/vi/node/38,2026-09-19,not-stated,public-source
library-faq,data\thu-vien\library-faq.md,Các câu hỏi thường gặp,https://library.hust.edu.vn/vi/node/50,2026-09-19,not-stated,public-source
library-inhouse-borrow,data\thu-vien\library-inhouse-borrow.md,Mượn – trả tài liệu in house,https://library.hust.edu.vn/vi/node/1300,2026-09-19,not-stated,public-source
library-interlibrary,data\thu-vien\library-interlibrary.md,Dịch vụ mượn liên thư viện,https://library.hust.edu.vn/vi/node/977,2026-09-19,not-stated,public-source
library-lost-document,data\thu-vien\library-lost-document.md,Thủ tục đền sách khi làm mất tài liệu,https://library.hust.edu.vn/vi/node/549,2026-09-19,not-stated,public-source
library-room-102,data\thu-vien\library-room-102.md,Hướng dẫn mượn trả sách Phòng 102,https://library.hust.edu.vn/vi/node/502,2026-09-19,not-stated,public-source
library-room-111,data\thu-vien\library-room-111.md,Quy trình mượn trả sách Phòng 111,https://library.hust.edu.vn/vi/node/483,2026-09-19,not-stated,public-source
library-usage-guide,data\thu-vien\library-usage-guide.md,Một số hướng dẫn sử dụng Thư viện,https://library.hust.edu.vn/vi/node/455,2026-09-19,not-stated,public-source
huit-borrow-faculty,data\thu-vien\huit-borrow-faculty.md,Quy định mượn trả sách dành cho giảng viên viên chức,https://thuvien.huit.edu.vn/Page/quy-dinh-su-dung-thu-vien,2026-09-19,not-stated,public-source
huit-borrow-student,data\thu-vien\huit-borrow-student.md,Quy định mượn trả sách dành cho sinh viên học viên,https://thuvien.huit.edu.vn/Page/quy-dinh-su-dung-thu-vien,2026-09-19,not-stated,public-source
